iter	Logloss
0	0.6925252656
1	0.6919190008
2	0.6914224657
3	0.6907954346
4	0.6902211946
5	0.6896319902
6	0.6891140088
7	0.6885445606
8	0.688060135
9	0.6875995706
10	0.6871665437
11	0.6865946497
12	0.6859048568
13	0.6855343571
14	0.6849449224
15	0.6844392097
16	0.6840713089
17	0.6835570058
18	0.6831247123
19	0.6826051264
20	0.6819979028
21	0.6814551275
22	0.6808536783
23	0.6804918513
24	0.6799159738
25	0.6793132808
26	0.6788784383
27	0.6783248679
28	0.6777769168
29	0.6772460883
30	0.6766802607
31	0.6761216263
32	0.6754882154
33	0.674900105
34	0.674287817
35	0.673696068
36	0.6731012695
37	0.6726025232
38	0.6721322613
39	0.6716099224
40	0.6710906183
41	0.67072655
42	0.6701654817
43	0.6696654752
44	0.6691048194
45	0.6686718109
46	0.6680895361
47	0.6675639863
48	0.6669807631
49	0.6665072586
50	0.665972238
51	0.6654191157
52	0.6648623482
53	0.6643115331
54	0.6638594232
55	0.6634197672
56	0.6630346245
57	0.6624283601
58	0.6620961212
59	0.6616029386
60	0.6610336642
61	0.6605130313
62	0.65999608
63	0.6595026112
64	0.6590626449
65	0.6584960102
66	0.6581480386
67	0.6576334107
68	0.6571598076
69	0.6566544475
70	0.6561313183
71	0.6557238969
72	0.6553019202
73	0.6546722149
74	0.6542177177
75	0.6537360757
76	0.6532555898
77	0.6527598479
78	0.6522129335
79	0.6517824335
80	0.6512579333
81	0.6507438036
82	0.6502481687
83	0.6498148948
84	0.649342456
85	0.6488078669
86	0.6484535983
87	0.6478893869
88	0.6473745894
89	0.6468547037
90	0.6464994587
91	0.6460153501
92	0.6455816057
93	0.645096456
94	0.6445924852
95	0.6440572055
96	0.643525226
97	0.643030222
98	0.6426363344
99	0.6422549422
100	0.6418175536
101	0.6413352464
102	0.6408680489
103	0.6403796716
104	0.6399427824
105	0.6394839424
106	0.6390684446
107	0.6386415472
108	0.6381604424
109	0.6376990895
110	0.6371895801
111	0.6367044173
112	0.636326493
113	0.6358847697
114	0.635393842
115	0.6349916417
116	0.6344649721
117	0.6339194404
118	0.6335057758
119	0.6331028005
120	0.6326022652
121	0.6321133284
122	0.6317325408
123	0.6312495445
124	0.6308618898
125	0.6305637081
126	0.6300788285
127	0.6295758143
128	0.629079029
129	0.6286378378
130	0.6282737543
131	0.6278091703
132	0.6273861611
133	0.6269469934
134	0.6265053828
135	0.6260854715
136	0.6256303796
137	0.6251699375
138	0.624896942
139	0.6244491876
140	0.6240164913
141	0.6236137652
142	0.6231912408
143	0.6229215091
144	0.6224405588
145	0.6220939543
146	0.6217277836
147	0.621318574
148	0.6208943773
149	0.6204566213
150	0.6200548471
151	0.6197319109
152	0.6192501904
153	0.6188949427
154	0.6184579369
155	0.6180383587
156	0.6176925097
157	0.6172464312
158	0.6168107882
159	0.6164120906
160	0.6161532856
161	0.6158260046
162	0.6154598678
163	0.6149875724
164	0.6145932498
165	0.6141577787
166	0.6137676878
167	0.6134100913
168	0.6129492222
169	0.61252491
170	0.61211061
171	0.6116870288
172	0.6112224454
173	0.6108570219
174	0.6104717289
175	0.610082712
176	0.609691143
177	0.6093549468
178	0.6090474569
179	0.6086326667
180	0.6082171001
181	0.6078174085
182	0.6073370237
183	0.6069188192
184	0.6064871137
185	0.6060669051
186	0.605706052
187	0.6053427625
188	0.6049240735
189	0.6045027998
190	0.6041216121
191	0.6037308365
192	0.6033113578
193	0.6029130557
194	0.6024117278
195	0.6020451105
196	0.601689255
197	0.6013557455
198	0.6010453114
199	0.6006948808
200	0.6002853437
201	0.599935934
202	0.5995341921
203	0.5991848825
204	0.5987848797
205	0.5983630168
206	0.5979864634
207	0.5975859572
208	0.5971757971
209	0.5967868801
210	0.5963997721
211	0.5961016356
212	0.5957591085
213	0.5954379829
214	0.5950814683
215	0.5947949819
216	0.5943863484
217	0.5939920587
218	0.5937514692
219	0.5934805714
220	0.5931081365
221	0.5927173294
222	0.5926100576
223	0.5922649271
224	0.5919071518
