iter	Passed	Remaining
0	51	25725
1	53	13284
2	55	9264
3	57	7091
4	58	5797
5	59	4911
6	61	4301
7	62	3836
8	64	3504
9	65	3199
10	66	2968
11	67	2764
12	69	2590
13	70	2443
14	71	2324
15	73	2217
16	74	2106
17	74	2004
18	76	1929
19	77	1854
20	78	1789
21	79	1731
22	80	1672
23	81	1614
24	82	1569
25	84	1533
26	86	1508
27	87	1476
28	88	1439
29	89	1404
30	90	1371
31	91	1339
32	92	1313
33	93	1287
34	95	1265
35	96	1240
36	97	1214
37	97	1189
38	98	1168
39	99	1149
40	100	1125
41	101	1102
42	102	1085
43	103	1075
44	104	1053
45	104	1032
46	105	1012
47	105	994
48	106	975
49	106	959
50	107	945
51	108	934
52	110	932
53	112	932
54	113	919
55	114	907
56	115	899
57	116	889
58	117	877
59	118	866
60	118	856
61	120	848
62	121	840
63	122	832
64	123	824
65	124	815
66	124	805
67	125	796
68	126	789
69	127	782
70	128	776
71	129	769
72	130	762
73	131	757
74	132	750
75	133	744
76	134	737
77	134	730
78	135	724
79	136	718
80	137	711
81	138	706
82	139	700
83	140	694
84	141	688
85	142	683
86	142	678
87	143	672
88	144	668
89	145	663
90	146	658
91	147	653
92	148	648
93	148	643
94	149	638
95	150	634
96	151	630
97	152	625
98	153	621
99	154	617
100	155	613
101	156	608
102	156	605
103	157	599
104	158	596
105	159	593
106	160	588
107	161	584
108	161	580
109	162	577
110	164	574
111	165	572
112	166	569
113	167	565
114	167	562
115	168	559
116	169	555
117	170	551
118	171	548
119	172	544
120	173	542
121	174	539
122	174	536
123	176	534
124	177	531
125	177	527
126	178	524
127	179	521
128	181	521
129	182	520
130	184	518
131	185	516
132	186	514
133	187	513
134	188	510
135	189	507
136	190	504
137	191	502
138	191	498
139	192	496
140	193	493
141	194	491
142	195	488
143	196	485
144	197	482
145	198	480
146	198	477
147	199	474
148	200	471
149	201	469
150	202	467
151	202	464
152	203	461
153	203	457
154	204	454
155	205	452
156	206	450
157	206	447
158	207	445
159	211	449
160	212	448
161	213	446
162	214	443
163	215	441
164	216	438
165	217	436
166	217	434
167	218	432
168	219	430
169	220	428
170	221	426
171	221	423
172	222	420
173	222	417
174	223	414
175	223	412
176	224	409
177	225	407
178	225	405
179	226	403
180	227	401
181	228	399
182	229	397
183	230	395
184	231	393
185	231	391
186	232	389
187	234	389
188	235	387
189	236	385
190	236	382
191	237	381
192	238	379
193	238	376
194	239	374
195	240	372
196	241	371
197	242	369
198	243	368
199	244	366
200	245	365
201	247	364
202	248	363
203	250	363
204	251	362
205	253	361
206	254	360
207	254	357
208	255	355
209	255	353
210	256	351
211	257	349
212	257	347
213	258	345
214	260	344
215	261	343
216	262	342
217	264	341
218	265	340
219	266	338
220	267	337
221	268	335
222	268	333
223	269	332
224	270	330
225	271	329
226	272	327
227	273	326
228	274	324
229	275	323
230	276	322
231	278	321
232	278	319
233	279	318
234	280	316
235	282	315
236	283	314
237	285	313
238	285	311
239	286	310
240	287	309
241	289	308
